#KSP	path_length	path
1	5.04815e+00	P04626|P01106
2	5.04815e+00	P04626|P40763
3	5.04815e+00	P04626|P42224
4	5.04815e+00	P04626|Q92625
5	5.04815e+00	P21860|P01106
6	5.04815e+00	P00533|P40763
7	5.04815e+00	P00533|P42224
8	5.04815e+00	P00533|P42229
9	5.04815e+00	P00533|P51692
10	5.04815e+00	P00533|Q92625
11	5.21839e+00	P00533|P01100
12	1.00963e+01	P00533|O00206|P01100
13	1.00963e+01	P00533|O00206|P05412
14	1.00963e+01	P00533|O00206|P19838
15	1.00963e+01	P00533|O00206|Q04206
16	1.00963e+01	P00533|O60603|P01100
17	1.00963e+01	P00533|O60603|P05412
18	1.00963e+01	P00533|O60603|P19838
19	1.00963e+01	P00533|O60603|Q04206
20	1.00963e+01	P00533|P00519|P01106
21	1.00963e+01	P00533|P00519|P05412
22	1.00963e+01	P00533|P00519|P08047
23	1.00963e+01	P00533|P00519|P42229
24	1.00963e+01	P00533|P00519|P51692
25	1.00963e+01	P00533|P10275|P05412
26	1.00963e+01	P00533|P10275|P08047
27	1.00963e+01	P00533|P10275|P16220
28	1.00963e+01	P00533|P10275|P40763
29	1.00963e+01	P00533|P10275|P49715
30	1.00963e+01	P00533|P10275|P84022
31	1.00963e+01	P00533|P10275|Q12778
32	1.00963e+01	P00533|P10275|Q13547
33	1.00963e+01	P00533|P10275|Q9Y6Q9
34	1.00963e+01	P00533|P10275|Q9Y6X2
35	1.00963e+01	P00533|P12931|P08047
36	1.00963e+01	P00533|P12931|P40763
37	1.00963e+01	P00533|P12931|P42224
38	1.00963e+01	P00533|P12931|P42229
39	1.00963e+01	P00533|P12931|Q07666
40	1.00963e+01	P00533|P16333|P08047
41	1.00963e+01	P00533|P05362|P19838
42	1.00963e+01	P00533|P22681|P01106
43	1.00963e+01	P00533|P22681|Q07666
44	1.00963e+01	P00533|P27361|P01100
45	1.00963e+01	P00533|P27361|P01106
46	1.00963e+01	P00533|P27361|P05412
47	1.00963e+01	P00533|P27361|P16220
48	1.00963e+01	P00533|P27361|P17535
49	1.00963e+01	P00533|P27361|P19419
50	1.00963e+01	P00533|P27361|P19838
51	1.00963e+01	P00533|P27361|P28324
52	1.00963e+01	P00533|P27361|P40763
53	1.00963e+01	P00533|P27361|P42224
54	1.00963e+01	P00533|P27361|P84022
55	1.00963e+01	P00533|P27361|P98177
56	1.00963e+01	P00533|P27361|Q04206
57	1.00963e+01	P00533|P27361|Q12778
58	1.00963e+01	P00533|P27361|Q15583
59	1.00963e+01	P00533|P27361|Q15796
60	1.00963e+01	P00533|P28482|O14901
61	1.00963e+01	P00533|P28482|P01100
62	1.00963e+01	P00533|P28482|P01106
63	1.00963e+01	P00533|P28482|P05412
64	1.00963e+01	P00533|P28482|P16220
65	1.00963e+01	P00533|P28482|P17535
66	1.00963e+01	P00533|P28482|P19419
67	1.00963e+01	P00533|P28482|P19838
68	1.00963e+01	P00533|P28482|P40763
69	1.00963e+01	P00533|P28482|P42224
70	1.00963e+01	P00533|P28482|P84022
71	1.00963e+01	P00533|P28482|P98177
72	1.00963e+01	P00533|P28482|Q04206
73	1.00963e+01	P00533|P28482|Q12778
74	1.00963e+01	P00533|P28482|Q15583
75	1.00963e+01	P00533|P28482|Q15796
76	1.00963e+01	P00533|P31749|P05412
77	1.00963e+01	P00533|P31749|P16220
78	1.00963e+01	P00533|P31749|P19838
79	1.00963e+01	P00533|P31749|P42224
80	1.00963e+01	P00533|P31749|P98177
81	1.00963e+01	P00533|P31749|Q04206
82	1.00963e+01	P00533|P31749|Q12778
83	1.00963e+01	P00533|P35222|P01100
84	1.00963e+01	P00533|O00329|P40763
85	1.00963e+01	P00533|O00459|P40763
