#tail	head	KSP index
P04626	P01106	1
P04626	P40763	2
P04626	P42224	3
P04626	Q92625	4
P21860	P01106	5
P00533	P40763	6
P00533	P42224	7
P00533	P42229	8
P00533	P51692	9
P00533	Q92625	10
P00533	P01100	11
O00206	P01100	12
P00533	O00206	12
O00206	P05412	13
O00206	P19838	14
O00206	Q04206	15
O60603	P01100	16
P00533	O60603	16
O60603	P05412	17
O60603	P19838	18
O60603	Q04206	19
P00533	P00519	20
P00519	P01106	20
P00519	P05412	21
P00519	P08047	22
P00519	P42229	23
P00519	P51692	24
P10275	P05412	25
P00533	P10275	25
P10275	P08047	26
P10275	P16220	27
P10275	P40763	28
P10275	P49715	29
P10275	P84022	30
P10275	Q12778	31
P10275	Q13547	32
P10275	Q9Y6Q9	33
P10275	Q9Y6X2	34
P00533	P12931	35
P12931	P08047	35
P12931	P40763	36
P12931	P42224	37
P12931	P42229	38
P12931	Q07666	39
P16333	P08047	40
P00533	P16333	40
P05362	P19838	41
P00533	P05362	41
P00533	P22681	42
P22681	P01106	42
P22681	Q07666	43
P27361	P01100	44
P00533	P27361	44
P27361	P01106	45
P27361	P05412	46
P27361	P16220	47
P27361	P17535	48
P27361	P19419	49
P27361	P19838	50
P27361	P28324	51
P27361	P40763	52
P27361	P42224	53
P27361	P84022	54
P27361	P98177	55
P27361	Q04206	56
P27361	Q12778	57
P27361	Q15583	58
P27361	Q15796	59
P00533	P28482	60
P28482	O14901	60
P28482	P01100	61
P28482	P01106	62
P28482	P05412	63
P28482	P16220	64
P28482	P17535	65
P28482	P19419	66
P28482	P19838	67
P28482	P40763	68
P28482	P42224	69
P28482	P84022	70
P28482	P98177	71
P28482	Q04206	72
P28482	Q12778	73
P28482	Q15583	74
P28482	Q15796	75
P31749	P05412	76
P00533	P31749	76
P31749	P16220	77
P31749	P19838	78
P31749	P42224	79
P31749	P98177	80
P31749	Q04206	81
P31749	Q12778	82
P00533	P35222	83
P35222	P01100	83
P00533	O00329	84
O00329	P40763	84
P00533	O00459	85
O00459	P40763	85
O00459	P42229	86
O14543	P40763	87
P00533	O14543	87
O14543	P42224	88
O14543	P42229	89
O14543	P51692	90
P00533	O15524	91
O15524	P40763	91
O15524	P42224	92
O15524	P42229	93
O15524	P51692	94
O15524	Q04206	95
P00533	O60674	96
O60674	P40763	96
O60674	P42224	97
O60674	P42229	98
O60674	P51692	99
P18031	P40763	100
P00533	P18031	100
P18031	P42229	101
P18031	P51692	102
P23458	P40763	103
P00533	P23458	103
P23458	P42224	104
P23458	P42229	105
P23458	P51692	106
P27986	P40763	107
P00533	P27986	107
P17706	P42224	108
P00533	P17706	108
P17706	P42229	109
P17706	P51692	110
P27986	P42229	111
P27986	Q07666	112
P35222	P01106	113
P35222	P19838	114
P35222	P84022	115
P35222	Q13547	116
P35222	Q15796	117
P00533	P42336	118
P42336	P40763	118
P00533	P42338	119
P42338	P40763	119
P42858	P08047	120
P00533	P42858	120
P42858	P16220	121
P00533	P46108	122
P46108	P08047	122
P46108	P42229	123
P46108	P51692	124
P46108	P84022	125
P00533	P46109	126
P46109	P42229	126
P46109	P51692	127
P48736	P40763	128
P00533	P48736	128
P00533	P62158	129
P62158	P19838	129
P62158	Q04206	130
P63104	P68104	131
P00533	P63104	131
P00533	O15530	132
O15530	P84022	132
O15530	Q15796	133
P62993	P84022	134
P00533	P62993	134
P62993	Q07666	135
P62993	Q16576	136
P63104	P98177	137
P63104	Q12778	138
P00533	Q05655	139
Q05655	P08047	139
Q05655	P40763	140
Q05655	P42224	141
P00533	Q06124	142
Q06124	P40763	142
P00533	P07948	143
P07948	Q07666	143
P15498	Q07666	144
P00533	P15498	144
P19174	Q07666	145
P00533	P19174	145
P20936	Q07666	146
P00533	P20936	146
P00533	P29350	147
P29350	Q07666	147
Q06124	P42229	148
Q06124	P51692	149
P00533	Q13191	150
Q13191	P01106	150
Q13153	Q13363	151
P00533	Q13153	151
P00533	P24385	152
P24385	Q13547	152
Q13153	Q9Y6Q9	153
Q13882	P51692	154
P00533	Q13882	154
Q13882	Q07666	155
Q13882	Q92625	156
P00533	Q14289	157
Q14289	P40763	157
Q92569	P40763	158
P00533	Q92569	158
P00533	P31947	159
P31947	Q92625	159
Q99558	P19838	160
P00533	Q99558	160
Q99558	Q04206	161
P00533	Q9NSE2	162
Q9NSE2	P40763	162
Q9NSE2	P42224	163
Q9NSE2	P42229	164
Q9NSE2	P51692	165
Q9UKG1	O94776	166
P00533	Q9UKG1	166
Q9UKG1	Q16576	167
Q9ULV8	P01106	168
P00533	Q9ULV8	168
Q05397	Q9Y6Q9	169
P00533	Q05397	169
P01133	P22681	170
P01133	O00459	171
P01133	P27986	174
P01133	P63104	177
P01133	P26447	178
P26447	P84022	178
P01133	P62993	179
P01133	Q13191	184
P04626	P00519	185
P04626	P27361	190
P04626	P28482	206
P04626	P35222	222
P04626	O00329	223
P04626	O00459	224
P04626	O15524	226
P04626	O60674	231
P04626	P23458	235
P04626	P27986	239
P04626	P40189	247
P40189	P40763	247
P40189	P42224	248
P04626	P42336	249
P04626	P42338	250
P04626	P46108	251
P04626	P46109	255
P04626	P48357	257
P48357	P40763	257
P04626	P48736	258
P04626	P62993	259
P04626	Q06124	262
P04626	P19174	263
P04626	P20936	264
P04626	Q13882	267
P04626	Q15303	270
Q15303	P01106	270
Q15303	P42229	271
Q15303	P51692	272
Q15303	Q92625	273
P04626	Q16665	274
Q16665	P08047	274
Q16665	P84022	275
Q16665	Q13547	276
P04626	Q92569	277
P04626	Q9NSE2	278
P04626	Q05397	279
P10586	P35222	283
P21860	P00519	289
P21860	P12931	294
P21860	P16333	299
P21860	P35222	300
P21860	O00459	301
P21860	O60674	303
P21860	P27986	307
P21860	P40189	315
P21860	P42336	317
P21860	P46108	318
P21860	P46109	322
P52333	P40763	324
P21860	P52333	324
P52333	P42224	325
P52333	P42229	326
P52333	P51692	327
P52333	Q07666	328
P21860	P62993	329
P08631	Q07666	330
P21860	P08631	330
P21860	P19174	331
P21860	P20936	332
P21860	Q13882	335
P21860	Q16665	338
P21860	Q92569	341
P03372	O94776	342
P00533	P03372	342
P03372	P01106	343
P03372	P05412	344
P03372	P19838	345
P03372	P40763	346
P03372	P42229	347
P03372	P84022	348
P03372	Q13547	349
P03372	Q15796	350
P00533	Q15303	351
P21860	Q15303	355
P00533	P01111	359
P01111	P01100	359
P01111	P05412	360
P00533	P01112	361
P01112	P01100	361
P01112	P05412	362
P00533	P01116	363
P01116	P01100	363
P01116	P05412	364
P00533	P17252	365
P17252	P01100	365
P17252	P16220	366
P10721	P42224	367
P01133	P10721	367
P10721	P42229	368
P10721	P51692	369
P21860	O00329	370
P21860	P42338	371
P21860	P48736	372
P00533	Q9NP31	373
Q9NP31	Q15796	373
P04626	Q9NP31	374
P28482	P28324	375
P10721	P40763	377
P43405	P42224	378
P00533	P43405	378
Q13153	Q15796	379
P04626	P12931	380
P04626	P43405	385
P21860	P43405	386
P00533	Q8WXH5	387
Q8WXH5	P40763	387
Q8WXH5	P42224	388
Q8WXH5	P42229	389
Q8WXH5	P51692	390
P05362	P40763	391
P00533	P35228	392
P35228	P01100	392
P35228	P05412	393
P35228	P17535	394
P35228	P42224	395
P10644	Q15796	396
P00533	P10644	396
P35222	Q12778	397
Q9NSE2	Q15796	398
P10586	P12757	401
P12757	P84022	401
P12757	Q15796	402
P03372	Q9Y6X2	405
O75791	Q07666	406
P04626	O75791	406
O60603	P68104	407
P00533	O75159	408
O75159	P40763	408
O75159	P42224	409
O75159	P42229	410
O75159	P51692	411
P04083	Q04206	412
P00533	P04083	412
P24385	P01100	413
P24385	P05412	414
P24385	P17535	415
P24385	Q9Y6Q9	416
P29350	P40763	417
P29350	Q13547	418
P35222	Q04206	419
P35222	Q13363	420
Q06124	P42224	421
Q16665	P40763	425
P04626	Q96RT1	426
Q96RT1	P84022	426
Q96RT1	Q15796	427
P06213	P40763	428
P10586	P06213	428
Q8NFM7	Q9Y4K3	434
Q9Y4K3	P19838	434
Q9Y4K3	Q04206	435
P10586	O75400	436
O75400	Q9Y6X2	436
P12757	Q9Y6X2	437
P00533	P0CG47	438
P0CG47	P01106	438
P62993	P68104	439
Q9NP31	P84022	440
P01133	P0CG47	441
P26447	Q15796	442
Q9NQ66	P16220	447
P00533	Q9NQ66	447
P01133	P07333	448
P07333	P17676	448
P01133	P06213	449
P08069	P40763	450
P01133	P08069	450
P01133	P17948	451
P17948	P40763	451
P17948	P42224	452
P35968	P40763	453
P01133	P35968	453
P35968	P42224	454
P62993	P08047	455
P09619	P42229	459
P01133	P09619	459
P21860	P22681	460
P21860	Q13191	462
P21860	Q9ULV8	463
P03372	P01100	464
P03372	P08047	465
P00533	O14654	466
O14654	P01106	466
P29350	P84022	467
P36542	P01106	468
P00533	P36542	468
P00533	P16144	469
P16144	P84022	469
P16144	Q15796	470
P35568	P84022	471
P00533	P35568	471
P00533	P52735	472
P52735	P84022	472
P01133	P36542	473
P01133	P52735	474
P04626	O14654	475
P04626	P16144	476
P04626	P35568	478
P04626	P52735	479
P04626	Q13671	480
Q13671	Q15796	480
P10586	O14654	481
P10586	P35568	482
P21860	P52735	483
P21860	Q13671	484
O14654	Q04206	485
P00519	P40763	486
P00519	P42224	487
P00519	Q9Y6Q9	488
P10275	P19838	489
P10275	Q04206	490
P10644	Q04206	491
P12931	Q12778	492
P00533	P12956	493
P12956	P01106	493
P00533	P04792	494
P04792	P19838	494
P04792	Q04206	495
P05141	P19838	496
P00533	P05141	496
P07437	P19838	497
P00533	P07437	497
P08107	P19838	498
P00533	P08107	498
P08107	Q04206	499
P00533	P08238	500
P08238	P19838	500
P00533	P11021	501
P11021	P19838	501
P11142	P19838	502
P00533	P11142	502
P17706	P40763	503
P19174	P68104	504
P27361	P17676	505
P28482	P17676	506
P29350	P42229	507
P29350	P51692	508
P00533	P29353	509
P29353	P08047	509
P31689	P19838	510
P00533	P31689	510
P31749	P84022	511
P31947	Q12778	512
P35222	P98177	513
P00533	P38646	514
P38646	P19838	514
P00533	P07332	515
P07332	P40763	515
P42858	P19838	516
P42858	Q13363	517
P43405	P40763	518
P43405	P42229	519
P46108	Q07666	520
P00533	P51813	521
P51813	P40763	521
P51813	P42224	522
P51813	P42229	523
P00533	P52597	524
P52597	P19838	524
P78527	P19838	525
P00533	P78527	525
P56945	P84022	526
P00533	P56945	526
P00533	Q01094	527
Q01094	P19838	527
P00533	P27348	528
P27348	Q04206	528
P00533	P42574	529
P42574	Q04206	529
P61978	Q07666	530
P00533	P61978	530
Q01094	Q04206	531
Q01094	Q13547	532
Q01094	Q9Y6Q9	533
Q05397	P42224	534
P00533	Q07889	535
Q07889	P01100	535
Q07889	P01106	536
Q07889	P19419	537
Q07890	P01100	538
P00533	Q07890	538
Q07890	P01106	539
Q07890	P19419	540
Q13546	P19838	541
P00533	Q13546	541
P00533	Q14974	542
Q14974	P84022	542
P62979	Q15796	543
P00533	P62979	543
Q14192	Q15796	544
P00533	Q14192	544
Q96EY1	P19838	545
P00533	Q96EY1	545
Q96EY1	Q04206	546
Q99558	P40763	547
P01133	P29353	548
P01133	Q07889	549
P01133	Q07890	552
P04626	P29353	562
P04626	P51813	567
P04626	P15498	568
P04626	Q13153	572
P04626	Q14289	574
P10586	P29353	576
P21860	P29353	583
P21860	P15498	584
P21860	Q05397	589
P68366	P01106	590
P00533	P68366	590
P04626	P16070	591
P16070	P17676	591
P16070	Q04206	592
P03372	P98177	593
P03372	Q12778	594
P03372	Q9Y6Q9	595
P01111	Q04206	596
P01112	Q04206	597
P01116	Q04206	598
P04626	P35221	599
P35221	P49715	599
Q9Y4K3	Q13547	600
P35354	P19838	603
P00533	P35354	603
P04626	P35354	604
P12956	P84022	605
P00533	P40855	606
P40855	Q15796	606
Q14974	Q15796	607
P00533	O95782	608
O95782	P01106	608
P46940	P01106	609
P00533	P46940	609
P00533	P52294	610
P52294	P19838	610
P52294	P40763	611
P52294	P42224	612
P58107	P01106	613
P00533	P58107	613
P0CG48	P01106	614
P04626	P0CG48	614
P0CG48	P05412	615
P0CG48	Q04206	616
P04626	P46940	617
P04626	P62979	618
P04626	P62987	619
P62987	Q15796	619
Q68CZ2	Q07666	620
P04626	Q68CZ2	620
P21860	Q68CZ2	621
P35354	P01100	622
P78527	P68104	623
O60641	P16220	625
P00533	O60641	625
P00533	P35221	626
P35354	P17676	627
P35354	Q13547	628
P00533	P51681	629
P51681	P17676	629
P51681	P51692	630
Q01094	P49715	631
Q9Y4K3	Q16576	634
P27348	P68104	635
P62979	P01106	636
Q01094	P08047	637
Q14192	P84022	638
Q71U36	Q04206	639
P00533	Q71U36	639
P00533	P12004	640
P12004	P68104	640
P00533	P09619	641
P00533	P58876	642
P58876	Q13547	642
P00533	Q99877	643
Q99877	Q13547	643
P0CG48	P84022	644
P0CG48	Q15796	645
P04792	P01106	646
P05141	Q15796	647
P00533	P06493	648
P06493	P01106	648
P00533	O60884	649
O60884	P84022	649
O60884	Q15796	650
P78527	P01106	651
P00533	Q00325	652
Q00325	Q15796	652
P00533	P68431	653
P68431	Q16576	653
P04626	P06493	654
