#KSP	path_length	path
1	5.04140e+00	P36897|O15105
2	5.04140e+00	P36897|O43541
3	5.04140e+00	P36897|P29590
4	5.04140e+00	P36897|P84022
5	5.04140e+00	P36897|P98082
6	5.04140e+00	P36897|Q13485
7	5.04140e+00	P36897|Q15796
8	5.04140e+00	P36897|Q9H0M0
9	5.04140e+00	P36897|Q9UER7
10	5.04140e+00	P37173|O15105
11	5.04140e+00	P37173|P08047
12	5.04140e+00	P37173|P23511
13	5.04140e+00	P37173|P35222
14	5.04140e+00	P37173|P84022
15	5.04140e+00	P37173|P98082
16	5.04140e+00	P37173|Q13485
17	5.04140e+00	P37173|Q15796
18	5.04140e+00	P37173|Q9H0M0
19	5.04140e+00	P37173|Q9HAU4
20	5.04140e+00	P37173|Q9UER7
21	5.09147e+00	P37173|P05412
22	5.09147e+00	P37173|P25208
23	5.25633e+00	P37173|O43541
24	1.00828e+01	P05106|P01111|P01100
25	1.00828e+01	P05106|P01111|P05412
26	1.00828e+01	P05106|P01112|P01100
27	1.00828e+01	P05106|P01112|P05412
28	1.00828e+01	P05106|P01116|P01100
29	1.00828e+01	P05106|P01116|P05412
30	1.00828e+01	P05106|P18031|P03372
31	1.00828e+01	P05106|P18031|P35222
32	1.00828e+01	P05106|P29353|O43524
33	1.00828e+01	P05556|P18031|P03372
34	1.00828e+01	P05556|P18031|P35222
35	1.00828e+01	P05556|P21333|P10275
36	1.00828e+01	P05556|P63244|O15350
37	1.00828e+01	P05556|P17931|Q13950
38	1.00828e+01	P05556|P63244|P10275
39	1.00828e+01	P05556|Q14192|P10275
40	1.00828e+01	P05556|O00214|Q15583
41	1.00828e+01	P05556|P16471|Q92793
42	1.00828e+01	P05556|Q14192|P38398
43	1.00828e+01	P05556|Q14192|Q01196
44	1.00828e+01	P05556|Q14192|Q13485
45	1.00828e+01	P05556|Q14192|Q15796
46	1.00828e+01	P34741|P01137|P84022
47	1.00828e+01	P34741|P01137|Q15796
48	1.00828e+01	P36897|O15169|O15105
49	1.00828e+01	P36897|O15169|P01106
50	1.00828e+01	P36897|O15169|P35222
51	1.00828e+01	P36897|O15169|P84022
52	1.00828e+01	P36897|O15169|Q15796
53	1.00828e+01	P36897|O75807|O15105
54	1.00828e+01	P36897|O95863|P04637
55	1.00828e+01	P36897|P27986|O75593
56	1.00828e+01	P36897|P27986|P03372
57	1.00828e+01	P36897|P27986|P38398
58	1.00828e+01	P36897|P27986|P98082
59	1.00828e+01	P36897|P29353|O43524
