#tail	head	KSP index
P36897	O15105	1
P36897	O43541	2
P36897	P29590	3
P36897	P84022	4
P36897	P98082	5
P36897	Q13485	6
P36897	Q15796	7
P36897	Q9H0M0	8
P36897	Q9UER7	9
P37173	O15105	10
P37173	P08047	11
P37173	P23511	12
P37173	P35222	13
P37173	P84022	14
P37173	P98082	15
P37173	Q13485	16
P37173	Q15796	17
P37173	Q9H0M0	18
P37173	Q9HAU4	19
P37173	Q9UER7	20
P37173	P05412	21
P37173	P25208	22
P37173	O43541	23
P05106	P01111	24
P01111	P01100	24
P01111	P05412	25
P05106	P01112	26
P01112	P01100	26
P01112	P05412	27
P05106	P01116	28
P01116	P01100	28
P01116	P05412	29
P18031	P03372	30
P05106	P18031	30
P18031	P35222	31
P05106	P29353	32
P29353	O43524	32
P05556	P18031	33
P05556	P21333	35
P21333	P10275	35
P05556	P63244	36
P63244	O15350	36
P05556	P17931	37
P17931	Q13950	37
P63244	P10275	38
Q14192	P10275	39
P05556	Q14192	39
P05556	O00214	40
O00214	Q15583	40
P16471	Q92793	41
P05556	P16471	41
Q14192	P38398	42
Q14192	Q01196	43
Q14192	Q13485	44
Q14192	Q15796	45
P01137	P84022	46
P34741	P01137	46
P01137	Q15796	47
O15169	O15105	48
P36897	O15169	48
O15169	P01106	49
O15169	P35222	50
O15169	P84022	51
O15169	Q15796	52
P36897	O75807	53
O75807	O15105	53
P36897	O95863	54
O95863	P04637	54
P27986	O75593	55
P36897	P27986	55
P27986	P03372	56
P27986	P38398	57
P27986	P98082	58
P36897	P29353	59
P36897	O95405	60
O95405	P29590	60
O95405	P84022	61
O95405	Q13485	62
O95405	Q15796	63
P36897	P30153	64
P30153	O43524	64
P30153	P04637	65
P30153	Q9GZV5	66
P36897	P36873	67
P36873	O15105	67
P36873	P03372	68
P36873	P15336	69
P36873	Q9GZV5	70
P36897	P57059	71
P57059	O15105	71
P36897	P62942	72
P62942	O15105	72
P36897	P63104	73
P63104	O43524	73
P63104	P04637	74
P63104	P35222	75
P63104	P98177	76
P63104	Q12778	77
P63104	Q9GZV5	78
P63104	Q9NPI6	79
P36897	P98170	80
P98170	P38398	80
P36897	Q03135	81
Q03135	P10275	81
Q12931	Q13485	82
P36897	Q12931	82
P36897	Q13501	83
Q13501	P84022	83
Q13501	Q13485	84
Q13501	Q15796	85
Q7Z3T8	P84022	86
P36897	Q7Z3T8	86
Q7Z3T8	Q13485	87
Q7Z3T8	Q15796	88
Q96JC1	Q13485	89
P36897	Q96JC1	89
P36897	P63151	90
P63151	Q9GZV5	90
