#KSP	path_length	path
1	5.05000e+00	Q9Y6Q6|P19838
2	5.05000e+00	P20333|P42224
3	5.05000e+00	Q8IV45|Q04206
4	5.05000e+00	Q9Y6Q6|Q04206
5	1.01000e+01	P20333|P04350|O14920
6	1.01000e+01	P20333|P04350|P19838
7	1.01000e+01	P20333|P04350|Q00653
8	1.01000e+01	P20333|P04350|Q01201
9	1.01000e+01	P20333|P04350|Q9Y6K9
10	1.01000e+01	P20333|P07437|O14920
11	1.01000e+01	P20333|P07437|P19838
12	1.01000e+01	P20333|P07437|P25963
13	1.01000e+01	P20333|P07437|Q00653
14	1.01000e+01	P20333|P07437|Q01201
15	1.01000e+01	P20333|P07437|Q15653
16	1.01000e+01	P20333|P07437|Q9Y6K9
17	1.01000e+01	P20333|P11021|O14920
18	1.01000e+01	P20333|P11021|P19838
19	1.01000e+01	P20333|P11021|P25963
20	1.01000e+01	P20333|P11021|Q00653
21	1.01000e+01	P20333|P11021|Q01201
22	1.01000e+01	P20333|P11021|Q04864
23	1.01000e+01	P20333|P11021|Q15653
24	1.01000e+01	P20333|P11021|Q9Y6K9
25	1.01000e+01	P20333|P11142|O14920
26	1.01000e+01	P20333|P11142|P19838
27	1.01000e+01	P20333|P11142|P25963
28	1.01000e+01	P20333|P11142|Q00653
29	1.01000e+01	P20333|P11142|Q01201
30	1.01000e+01	P20333|P11142|Q04864
31	1.01000e+01	P20333|P11142|Q15653
32	1.01000e+01	P20333|P11142|Q9Y6K9
33	1.01000e+01	P20333|P19438|O14920
34	1.01000e+01	P20333|O95816|P19838
35	1.01000e+01	P20333|O95816|Q15653
36	1.01000e+01	P20333|P05141|P19838
37	1.01000e+01	P20333|P05141|P25963
38	1.01000e+01	P20333|P05141|Q9Y6K9
39	1.01000e+01	P20333|P08670|P19838
40	1.01000e+01	P20333|P08670|Q9Y6K9
41	1.01000e+01	P20333|P12236|P19838
42	1.01000e+01	P20333|P12236|Q9Y6K9
43	1.01000e+01	P20333|P17066|P19838
44	1.01000e+01	P20333|P17066|Q01201
45	1.01000e+01	P20333|P17066|Q04864
46	1.01000e+01	P20333|P17066|Q9Y6K9
47	1.01000e+01	P20333|P19438|O75530
48	1.01000e+01	P20333|P19438|P19838
49	1.01000e+01	P20333|P19438|P21580
50	1.01000e+01	P20333|P19438|Q04206
51	1.01000e+01	P20333|P19438|Q9Y6K9
52	1.01000e+01	P20333|P21333|O14920
