#tail	head	KSP index
Q9Y6Q6	P19838	1
P20333	P42224	2
Q8IV45	Q04206	3
Q9Y6Q6	Q04206	4
P20333	P04350	5
P04350	O14920	5
P04350	P19838	6
P04350	Q00653	7
P04350	Q01201	8
P04350	Q9Y6K9	9
P07437	O14920	10
P20333	P07437	10
P07437	P19838	11
P07437	P25963	12
P07437	Q00653	13
P07437	Q01201	14
P07437	Q15653	15
P07437	Q9Y6K9	16
P20333	P11021	17
P11021	O14920	17
P11021	P19838	18
P11021	P25963	19
P11021	Q00653	20
P11021	Q01201	21
P11021	Q04864	22
P11021	Q15653	23
P11021	Q9Y6K9	24
P11142	O14920	25
P20333	P11142	25
P11142	P19838	26
P11142	P25963	27
P11142	Q00653	28
P11142	Q01201	29
P11142	Q04864	30
P11142	Q15653	31
P11142	Q9Y6K9	32
P19438	O14920	33
P20333	P19438	33
O95816	P19838	34
P20333	O95816	34
O95816	Q15653	35
P05141	P19838	36
P20333	P05141	36
P05141	P25963	37
P05141	Q9Y6K9	38
P08670	P19838	39
P20333	P08670	39
P08670	Q9Y6K9	40
P12236	P19838	41
P20333	P12236	41
P12236	Q9Y6K9	42
P17066	P19838	43
P20333	P17066	43
P17066	Q01201	44
P17066	Q04864	45
P17066	Q9Y6K9	46
P19438	O75530	47
P19438	P19838	48
P19438	P21580	49
P19438	Q04206	50
P19438	Q9Y6K9	51
P21333	O14920	52
P20333	P21333	52
P0CG48	P21580	53
P20333	P0CG48	53
P0CG48	P25963	54
P0CG48	Q00653	55
P0CG48	Q01201	56
P0CG48	Q04206	57
P0CG48	Q9Y6K9	58
P21333	Q9Y6K9	59
P23396	O14920	60
P20333	P23396	60
P23396	Q00653	61
P23396	Q04206	62
P23396	Q9Y6K9	63
P27708	P19838	64
P20333	P27708	64
P27708	Q00653	65
P27708	Q01201	66
P27708	Q9Y6K9	67
P31689	P19838	68
P20333	P31689	68
P31689	Q00653	69
P34931	O14920	70
P20333	P34931	70
P34931	P19838	71
P34931	P25963	72
P34931	Q00653	73
P34931	Q01201	74
P34931	Q04864	75
P34931	Q15653	76
P34931	Q9Y6K9	77
P35579	P19838	78
P20333	P35579	78
P35579	Q9Y6K9	79
P35580	O14920	80
P20333	P35580	80
P35580	P19838	81
P35580	Q9Y6K9	82
P38646	O14920	83
P20333	P38646	83
P38646	P19838	84
P38646	P25963	85
P38646	Q00653	86
P38646	Q01201	87
P38646	Q04864	88
P38646	Q15653	89
P38646	Q9Y6K9	90
P20333	P62158	91
P62158	O14920	91
P62158	P19838	92
P62158	Q00653	93
P62158	Q01201	94
P62158	Q04206	95
P62158	Q04864	96
P62158	Q9Y6K9	97
P62829	P25963	98
P20333	P62829	98
P62829	Q9Y6K9	99
P63261	O14920	100
P20333	P63261	100
P63261	P19838	101
P63261	P25963	102
P63261	Q01201	103
P63261	Q15653	104
P63261	Q9Y6K9	105
P78527	P19838	106
P20333	P78527	106
P78527	Q00653	107
P78527	Q01201	108
P78527	Q09472	109
P78527	Q9Y6K9	110
Q00610	O14920	111
P20333	Q00610	111
O95831	Q00653	112
P20333	O95831	112
P07910	Q00653	113
P20333	P07910	113
P42677	Q00653	114
P20333	P42677	114
P42677	Q9Y6K9	115
P62249	Q00653	116
P20333	P62249	116
P62249	Q9Y6K9	117
P62263	Q00653	118
P20333	P62263	118
P62263	Q01201	119
P62263	Q9Y6K9	120
P62269	Q00653	121
P20333	P62269	121
Q00610	P19838	122
Q00610	P25963	123
Q00610	Q00653	124
Q00610	Q01201	125
Q00610	Q04864	126
Q00610	Q15653	127
Q00610	Q9Y6K9	128
Q00839	O14920	129
P20333	Q00839	129
P04406	Q04864	130
P20333	P04406	130
Q00839	Q00653	131
Q00839	Q01201	132
Q00839	Q15653	133
Q00839	Q9Y6K9	134
Q05639	P19838	135
P20333	Q05639	135
Q05639	Q00653	136
Q05639	Q9Y6K9	137
Q07021	O14920	138
P20333	Q07021	138
Q07021	P19838	139
Q07021	Q01201	140
Q07021	Q04864	141
Q12933	O14920	142
P20333	Q12933	142
Q12933	P21580	143
Q12933	P25963	144
Q12933	Q92905	145
Q12933	Q9GZU2	146
Q12933	Q9Y6K9	147
Q13077	O14920	148
P20333	Q13077	148
Q13077	P21580	149
Q13077	Q00653	150
Q13077	Q9Y6K9	151
Q13748	O14920	152
P20333	Q13748	152
Q13748	P19838	153
Q13748	P25963	154
Q13748	Q00653	155
Q13748	Q01201	156
Q13748	Q04864	157
Q13748	Q15653	158
