#KSP	path_length	path
1	5.05656e+00	O00144|P35222
2	5.05656e+00	O75084|P35222
3	5.05656e+00	O75581|P98082
4	5.05656e+00	Q13467|P35222
5	5.05656e+00	Q14332|P35222
6	5.05656e+00	Q9H461|P35222
7	5.05656e+00	Q9NPG1|P35222
8	5.05656e+00	Q9ULW2|P35222
9	5.05656e+00	Q9UP38|P35222
10	1.01131e+01	O00144|O14640|P25054
11	1.01131e+01	O00144|O14640|Q15797
12	1.01131e+01	O00144|O14641|P25054
13	1.01131e+01	O00144|Q92997|P98082
14	1.01131e+01	O75084|O14640|P25054
15	1.01131e+01	O75084|O14640|Q15797
16	1.01131e+01	O75084|O14641|P25054
17	1.01131e+01	O75084|Q92997|P98082
18	1.01131e+01	O75197|O15169|P25054
19	1.01131e+01	O75197|O15169|P35222
20	1.01131e+01	O75197|P19022|P35222
21	1.01131e+01	O75581|O15169|P25054
22	1.01131e+01	O75581|O15169|P35222
23	1.01131e+01	O75581|P19022|P35222
24	1.01131e+01	Q13467|O14640|P25054
25	1.01131e+01	Q13467|O14640|Q15797
26	1.01131e+01	Q13467|O14641|P25054
27	1.01131e+01	Q13467|Q92997|P98082
28	1.01131e+01	Q14332|O14640|P25054
29	1.01131e+01	Q14332|O14640|Q15797
30	1.01131e+01	Q14332|O14641|P25054
31	1.01131e+01	Q14332|Q92997|P98082
32	1.01131e+01	Q9H461|O14640|P25054
33	1.01131e+01	Q9H461|O14640|Q15797
34	1.01131e+01	Q9H461|O14641|P25054
35	1.01131e+01	Q9H461|Q92997|P98082
36	1.01131e+01	Q9NPG1|O14640|P25054
37	1.01131e+01	Q9NPG1|O14640|Q15797
38	1.01131e+01	Q9NPG1|O14641|P25054
39	1.01131e+01	Q9NPG1|Q92997|P98082
40	1.01131e+01	Q9ULW2|O14640|P25054
41	1.01131e+01	Q9ULW2|O14640|Q15797
42	1.01131e+01	Q9ULW2|O14641|P25054
43	1.01131e+01	Q9ULW2|Q92997|P98082
44	1.01131e+01	Q9UP38|O14640|P25054
45	1.01131e+01	Q9UP38|O14640|Q15797
46	1.01131e+01	Q9UP38|O14641|P25054
47	1.01131e+01	Q9UP38|Q92997|P98082
48	1.01411e+01	P34925|P13569|P98082
49	1.02834e+01	Q01974|O43318|P98082
50	1.03280e+01	O00144|Q92997|P25054
51	1.03280e+01	O75084|Q92997|P25054
52	1.03280e+01	O75197|O60353|P35222
53	1.03280e+01	O75197|Q9ULV1|P35222
54	1.03280e+01	O75581|O60353|P35222
55	1.03280e+01	O75581|Q9ULV1|P35222
56	1.03280e+01	Q13467|Q92997|P25054
57	1.03280e+01	Q14332|Q92997|P25054
58	1.03280e+01	Q9H461|Q92997|P25054
59	1.03280e+01	Q9NPG1|Q92997|P25054
60	1.03280e+01	Q9ULW2|Q92997|P25054
61	1.03280e+01	Q9UP38|Q92997|P25054
62	1.03593e+01	O75581|P62979|Q15797
63	1.03593e+01	O75581|P62987|Q15797
64	1.04054e+01	O75197|P49841|P25054
65	1.04054e+01	O75197|P49841|P35222
66	1.04054e+01	O75197|P49841|Q13469
67	1.04054e+01	O75581|P49841|P25054
68	1.04054e+01	O75581|P49841|P35222
69	1.04054e+01	O75581|P49841|Q13469
70	1.04054e+01	P34925|O14640|P25054
71	1.04054e+01	P34925|O14640|Q15797
72	1.04054e+01	P34925|P04628|Q02962
73	1.04054e+01	Q01974|O14640|P25054
74	1.04054e+01	Q01974|O14640|Q15797
75	1.04054e+01	Q01974|O14641|P25054
76	1.04054e+01	Q01974|P04628|Q02962
77	1.04054e+01	Q01974|Q92997|P98082
78	1.06204e+01	Q01974|Q92997|P25054
79	1.06883e+01	Q13467|P49841|P25054
80	1.06883e+01	Q13467|P49841|P35222
81	1.06883e+01	Q13467|P49841|Q13469
82	1.06977e+01	Q01974|P21333|P25054
83	1.51697e+01	O00144|O14640|O15105|P15884
84	1.51697e+01	O00144|O14640|O15105|P35222
85	1.51697e+01	O00144|O14640|O15105|Q15797
86	1.51697e+01	O00144|O14640|O15105|Q9UJU2
87	1.51697e+01	O00144|O14640|O15169|P25054
88	1.51697e+01	O00144|O14640|O15169|P35222
89	1.51697e+01	O00144|O14640|P31749|P35222
90	1.51697e+01	O00144|O14640|P49674|P25054
91	1.51697e+01	O00144|O14640|P49841|P25054
92	1.51697e+01	O00144|O14640|P49841|P35222
93	1.51697e+01	O00144|O14640|P49841|Q13469
94	1.51697e+01	O00144|O14640|P67870|P35222
95	1.51697e+01	O00144|O14640|P68400|P35222
96	1.51697e+01	O00144|O14640|P84022|P35222
97	1.51697e+01	O00144|O14640|P84022|P98082
98	1.51697e+01	O00144|O14640|P84022|Q15797
99	1.51697e+01	O00144|O14640|P84022|Q9UJU2
100	1.51697e+01	O00144|O14640|Q13485|P35222
101	1.51697e+01	O00144|O14640|Q13485|Q15797
102	1.51697e+01	O00144|O14640|Q13485|Q9UJU2
103	1.51697e+01	O00144|O14640|Q15796|P35222
104	1.51697e+01	O00144|O14640|P46531|Q15797
105	1.51697e+01	O00144|O14640|P46531|Q9UJU2
106	1.51697e+01	O00144|O14640|Q15796|P98082
107	1.51697e+01	O00144|O14640|Q15796|Q15797
108	1.51697e+01	O00144|O14640|Q15796|Q9UJU2
109	1.51697e+01	O00144|O14641|O15169|P25054
110	1.51697e+01	O00144|O14641|O15169|P35222
111	1.51697e+01	O00144|O14641|P17252|P35222
112	1.51697e+01	O00144|O14641|P49841|P25054
113	1.51697e+01	O00144|O14641|P49841|P35222
114	1.51697e+01	O00144|O14641|P49841|Q13469
115	1.51697e+01	O00144|P09471|O14640|P25054
116	1.51697e+01	O00144|P09471|O14640|Q15797
117	1.51697e+01	O00144|P09471|O14641|P25054
118	1.51697e+01	O00144|P09471|P27361|P15923
119	1.51697e+01	O00144|P09471|P27361|Q15797
120	1.51697e+01	O00144|P09471|P28482|P15923
121	1.51697e+01	O00144|P09471|P12931|P35222
122	1.51697e+01	O00144|P09471|P28482|Q15797
123	1.51697e+01	O00144|P09471|P42336|P35222
124	1.51697e+01	O00144|P09471|P27986|P98082
125	1.51697e+01	O00144|P09471|Q92997|P98082
126	1.51697e+01	O00144|P50148|O14640|P25054
127	1.51697e+01	O00144|P50148|O14640|Q15797
128	1.51697e+01	O00144|P50148|O14641|P25054
129	1.51697e+01	O00144|P50148|Q92997|P98082
130	1.51697e+01	O00144|Q00722|P00533|P35222
131	1.51697e+01	O00144|Q00722|P17252|P35222
132	1.51697e+01	O00144|Q01970|O14745|P35222
133	1.51697e+01	O00144|Q01970|P00533|P35222
134	1.51697e+01	O00144|Q01970|P17252|P35222
135	1.51697e+01	O00144|Q15147|P00533|P35222
136	1.51697e+01	O00144|Q15147|P17252|P35222
137	1.51697e+01	O00144|Q92997|O15169|P25054
138	1.51697e+01	O00144|Q92997|O15169|P35222
139	1.51697e+01	O00144|Q92997|P49841|P25054
140	1.51697e+01	O00144|Q92997|P49841|P35222
141	1.51697e+01	O00144|Q92997|P49841|Q13469
142	1.51697e+01	O00144|Q9NQ66|P00533|P35222
143	1.51697e+01	O00144|Q9NQ66|P17252|P35222
144	1.51697e+01	O75084|O14640|O15105|P15884
145	1.51697e+01	O75084|O14640|O15105|P35222
146	1.51697e+01	O75084|O14640|O15105|Q15797
147	1.51697e+01	O75084|O14640|O15105|Q9UJU2
148	1.51697e+01	O75084|O14640|O15169|P25054
149	1.51697e+01	O75084|O14640|O15169|P35222
150	1.51697e+01	O75084|O14640|P31749|P35222
151	1.51697e+01	O75084|O14640|P49674|P25054
152	1.51697e+01	O75084|O14640|P49841|P25054
153	1.51697e+01	O75084|O14640|P49841|P35222
154	1.51697e+01	O75084|O14640|P49841|Q13469
155	1.51697e+01	O75084|O14640|P67870|P35222
156	1.51697e+01	O75084|O14640|P68400|P35222
157	1.51697e+01	O75084|O14640|P84022|P35222
158	1.51697e+01	O75084|O14640|P84022|P98082
159	1.51697e+01	O75084|O14640|P84022|Q15797
160	1.51697e+01	O75084|O14640|P84022|Q9UJU2
161	1.51697e+01	O75084|O14640|Q13485|P35222
162	1.51697e+01	O75084|O14640|Q13485|Q15797
163	1.51697e+01	O75084|O14640|Q13485|Q9UJU2
164	1.51697e+01	O75084|O14640|Q15796|P35222
165	1.51697e+01	O75084|O14640|P46531|Q15797
166	1.51697e+01	O75084|O14640|P46531|Q9UJU2
167	1.51697e+01	O75084|O14640|Q15796|P98082
168	1.51697e+01	O75084|O14640|Q15796|Q15797
169	1.51697e+01	O75084|O14640|Q15796|Q9UJU2
170	1.51697e+01	O75084|O14641|O15169|P25054
171	1.51697e+01	O75084|O14641|O15169|P35222
172	1.51697e+01	O75084|O14641|P17252|P35222
173	1.51697e+01	O75084|O14641|P49841|P25054
174	1.51697e+01	O75084|O14641|P49841|P35222
175	1.51697e+01	O75084|O14641|P49841|Q13469
176	1.51697e+01	O75084|P09471|O14640|P25054
177	1.51697e+01	O75084|P09471|O14640|Q15797
178	1.51697e+01	O75084|P09471|O14641|P25054
179	1.51697e+01	O75084|P09471|P27361|P15923
180	1.51697e+01	O75084|P09471|P27361|Q15797
181	1.51697e+01	O75084|P09471|P28482|P15923
182	1.51697e+01	O75084|P09471|P12931|P35222
183	1.51697e+01	O75084|P09471|P28482|Q15797
184	1.51697e+01	O75084|P09471|P42336|P35222
185	1.51697e+01	O75084|P09471|P27986|P98082
186	1.51697e+01	O75084|P09471|Q92997|P98082
187	1.51697e+01	O75084|P50148|O14640|P25054
188	1.51697e+01	O75084|P50148|O14640|Q15797
189	1.51697e+01	O75084|P50148|O14641|P25054
190	1.51697e+01	O75084|P50148|Q92997|P98082
191	1.51697e+01	O75084|Q00722|P00533|P35222
192	1.51697e+01	O75084|Q00722|P17252|P35222
193	1.51697e+01	O75084|Q01970|O14745|P35222
194	1.51697e+01	O75084|Q01970|P00533|P35222
195	1.51697e+01	O75084|Q01970|P17252|P35222
