#tail	head	KSP index
O00144	P35222	1
O75084	P35222	2
O75581	P98082	3
Q13467	P35222	4
Q14332	P35222	5
Q9H461	P35222	6
Q9NPG1	P35222	7
Q9ULW2	P35222	8
Q9UP38	P35222	9
O00144	O14640	10
O14640	P25054	10
O14640	Q15797	11
O00144	O14641	12
O14641	P25054	12
O00144	Q92997	13
Q92997	P98082	13
O75084	O14640	14
O75084	O14641	16
O75084	Q92997	17
O75197	O15169	18
O15169	P25054	18
O15169	P35222	19
O75197	P19022	20
P19022	P35222	20
O75581	O15169	21
O75581	P19022	23
Q13467	O14640	24
Q13467	O14641	26
Q13467	Q92997	27
Q14332	O14640	28
Q14332	O14641	30
Q14332	Q92997	31
Q9H461	O14640	32
Q9H461	O14641	34
Q9H461	Q92997	35
Q9NPG1	O14640	36
Q9NPG1	O14641	38
Q9NPG1	Q92997	39
Q9ULW2	O14640	40
Q9ULW2	O14641	42
Q9ULW2	Q92997	43
Q9UP38	O14640	44
Q9UP38	O14641	46
Q9UP38	Q92997	47
P13569	P98082	48
P34925	P13569	48
Q01974	O43318	49
O43318	P98082	49
Q92997	P25054	50
O75197	O60353	52
O60353	P35222	52
O75197	Q9ULV1	53
Q9ULV1	P35222	53
O75581	O60353	54
O75581	Q9ULV1	55
O75581	P62979	62
P62979	Q15797	62
O75581	P62987	63
P62987	Q15797	63
O75197	P49841	64
P49841	P25054	64
P49841	P35222	65
P49841	Q13469	66
O75581	P49841	67
P34925	O14640	70
P04628	Q02962	72
P34925	P04628	72
Q01974	O14640	73
Q01974	O14641	75
Q01974	P04628	76
Q01974	Q92997	77
Q13467	P49841	79
Q01974	P21333	82
P21333	P25054	82
O14640	O15105	83
O15105	P15884	83
O15105	P35222	84
O15105	Q15797	85
O15105	Q9UJU2	86
O14640	O15169	87
P31749	P35222	89
O14640	P31749	89
P49674	P25054	90
O14640	P49674	90
O14640	P49841	91
P67870	P35222	94
O14640	P67870	94
O14640	P68400	95
P68400	P35222	95
O14640	P84022	96
P84022	P35222	96
P84022	P98082	97
P84022	Q15797	98
P84022	Q9UJU2	99
O14640	Q13485	100
Q13485	P35222	100
Q13485	Q15797	101
Q13485	Q9UJU2	102
O14640	Q15796	103
Q15796	P35222	103
P46531	Q15797	104
O14640	P46531	104
P46531	Q9UJU2	105
Q15796	P98082	106
Q15796	Q15797	107
Q15796	Q9UJU2	108
O14641	O15169	109
O14641	P17252	111
P17252	P35222	111
O14641	P49841	112
O00144	P09471	115
P09471	O14640	115
P09471	O14641	117
P09471	P27361	118
P27361	P15923	118
P27361	Q15797	119
P09471	P28482	120
P28482	P15923	120
P09471	P12931	121
P12931	P35222	121
P28482	Q15797	122
P09471	P42336	123
P42336	P35222	123
P09471	P27986	124
P27986	P98082	124
P09471	Q92997	125
O00144	P50148	126
P50148	O14640	126
P50148	O14641	128
P50148	Q92997	129
O00144	Q00722	130
P00533	P35222	130
Q00722	P00533	130
Q00722	P17252	131
O00144	Q01970	132
Q01970	O14745	132
O14745	P35222	132
Q01970	P00533	133
Q01970	P17252	134
O00144	Q15147	135
Q15147	P00533	135
Q15147	P17252	136
Q92997	O15169	137
Q92997	P49841	139
O00144	Q9NQ66	142
Q9NQ66	P00533	142
Q9NQ66	P17252	143
O75084	P09471	176
O75084	P50148	187
O75084	Q00722	191
O75084	Q01970	193
O75084	Q15147	196
O75084	Q9NQ66	203
O15169	O15105	205
O15169	O14640	206
O15169	O14641	208
O15169	O95996	212
O95996	P35222	212
O15169	P19022	213
O15169	P31749	214
O15169	P48729	215
P48729	P35222	215
P48729	Q13469	216
O15169	P49674	217
O15169	P49841	218
O15169	P84022	221
O15169	P36897	222
P36897	P98082	222
O15169	Q15796	226
O15169	Q92997	230
O15169	Q9Y297	231
Q9Y297	P25054	231
Q9Y297	P35222	232
P19022	O15169	233
P19022	P14923	235
P14923	P25054	235
P08575	P35222	236
P19022	P08575	236
P14923	P35222	237
P14923	Q9NQB0	238
P14923	Q9UJU2	239
P18031	P35222	240
P19022	P18031	240
P23467	P35222	241
P19022	P23467	241
P23470	P35222	242
P19022	P23470	242
Q05209	P35222	243
P19022	Q05209	243
Q12913	P35222	244
P19022	Q12913	244
P19022	Q16620	245
Q16620	P35222	245
Q16827	P35222	246
P19022	Q16827	246
O75197	Q92837	247
Q92837	O14640	247
Q92837	O15169	249
Q92837	P49841	251
Q92837	Q92997	254
O75581	Q9Y4X0	297
Q9Y4X0	P49841	297
Q9Y2T1	P25054	300
Q9Y4X0	Q9Y2T1	300
Q9Y2T1	P35222	301
P04628	O60353	302
P04628	Q9ULV1	303
P34925	P56704	304
P56704	O60353	304
P56704	Q9ULV1	305
Q01973	P41221	306
P41221	O60353	306
P41221	Q9ULV1	307
Q01973	P56703	308
P56703	O60353	308
P56703	Q9ULV1	309
Q01974	O00755	310
O00755	O60353	310
O00755	Q9ULV1	311
Q01974	P09544	314
P09544	O60353	314
P09544	Q9ULV1	315
Q01974	P31946	316
P31946	O14920	316
O14920	P35222	316
P31946	P00519	317
P00519	P35222	317
P08069	P35222	318
P31946	P08069	318
P31946	P22681	319
P22681	P35222	319
P31946	P68400	320
P31946	P46937	321
P46937	Q15797	321
Q01974	P41221	322
Q01974	P56703	324
Q01974	P56704	326
Q01974	P56705	328
P56705	O60353	328
P56705	Q9ULV1	329
Q01974	Q9H1J7	330
Q9H1J7	O60353	330
Q9H1J7	Q9ULV1	331
Q01974	Q9Y6F9	332
Q9Y6F9	O60353	332
Q9Y6F9	Q9ULV1	333
Q07954	O00213	334
O00213	P00533	334
P04626	P35222	335
O00213	P04626	335
Q13467	P09471	368
Q13467	P50148	379
Q13467	Q00722	383
Q13467	Q01970	385
Q13467	Q15147	388
Q13467	Q9NQ66	395
Q14332	P09471	429
Q14332	P50148	440
Q14332	Q00722	444
Q14332	Q01970	446
Q14332	Q15147	449
Q14332	Q9NQ66	456
Q9H461	P09471	490
Q9H461	P50148	501
Q9H461	Q00722	505
Q9H461	Q01970	507
Q9H461	Q15147	510
Q9H461	Q9NQ66	517
Q9NPG1	P09471	551
Q9NPG1	P50148	562
Q9NPG1	Q00722	566
Q9NPG1	Q01970	568
Q9NPG1	Q15147	571
Q9NPG1	Q9NQ66	578
Q9ULW2	P09471	612
Q9ULW2	P50148	623
Q9ULW2	Q00722	627
Q9ULW2	Q01970	629
Q9ULW2	Q15147	632
Q9ULW2	Q9NQ66	639
Q9UP38	P09471	673
Q9UP38	P50148	684
Q9UP38	Q00722	688
Q9UP38	Q01970	690
Q9UP38	Q15147	693
Q9UP38	Q9NQ66	700
Q01970	Q8TEW0	702
Q8TEW0	P35222	702
Q9NQ66	Q8TEW0	703
P31946	Q8TEW0	706
Q07954	P61981	707
P61981	P31947	707
P31947	P25054	707
P13569	O14745	720
P61981	P00519	721
P61981	P08069	722
P61981	P27986	723
P61981	P46937	724
P61981	Q9H307	725
Q9H307	Q13363	725
P09471	P45983	726
P45983	P35222	726
P09471	O15264	727
O15264	Q13469	727
P45983	Q02962	728
P09471	P53778	729
P53778	Q13469	729
P09471	Q15759	730
Q15759	Q13469	730
P09471	Q16539	731
Q16539	Q13469	731
P31946	Q96B36	738
Q96B36	P37231	738
Q13485	Q9NQB0	775
P13569	P12830	783
P12830	P35222	783
P13569	P50402	784
P50402	P35222	784
Q8N122	P37231	785
P61981	Q8N122	785
P61981	Q8TEW0	786
P61981	Q92597	787
Q92597	P35222	787
O75084	Q9NRR5	788
Q9NRR5	Q06455	788
Q06455	P15884	788
Q06455	P15923	789
Q13526	P35222	790
Q9NRR5	Q13526	790
P09471	P45984	791
P45984	P35222	791
P15153	Q15797	799
O14640	P15153	799
O14641	P15153	800
Q92997	P15153	801
Q13309	P15923	805
P31946	Q13309	805
O14641	P46531	824
Q92997	P46531	826
P31946	P49674	832
Q04721	Q15797	857
O14640	Q04721	857
O75084	Q9UMX0	859
Q9UMX0	P49768	859
P49768	P35222	859
P55036	P15923	860
Q9UMX0	P55036	860
O75197	O15198	861
O15198	Q13485	861
O75581	P58335	864
P58335	Q15796	864
Q07954	P12757	868
P12757	P84022	868
Q09472	P15884	872
P12757	Q09472	872
Q09472	P35222	873
Q09472	P37231	874
Q09472	Q15797	875
Q09472	Q9NQB0	876
P12757	Q13485	877
P12757	Q15796	880
Q9HAU4	Q15797	884
P12757	Q9HAU4	884
P61981	P22681	891
P61981	P49674	892
Q01973	P01138	893
P04629	P35222	893
P01138	P04629	893
P01138	Q16620	894
P61981	Q12778	895
Q12778	P35222	895
P12757	O43318	896
P42345	P37231	897
Q9UMX0	P42345	897
O75533	Q15797	900
P61981	O75533	900
P01138	P00533	901
P01138	P08069	902
P08581	P35222	903
P01138	P08581	903
P61981	P08670	904
P08670	Q13469	904
Q9H160	Q15797	905
P12757	Q9H160	905
Q15796	P15884	906
P18146	Q13469	907
O14641	P18146	907
O14641	Q9HCE7	908
Q9HCE7	Q15797	908
P27986	P35222	909
Q00722	Q16539	910
O15169	Q13526	916
O15169	P01106	917
P01106	Q9NQB0	917
O75197	Q00604	919
Q00604	Q9ULV1	919
O75581	P0CG47	923
P0CG47	P00533	923
P0CG47	P22681	924
P63104	P25054	925
P0CG47	P63104	925
P0CG47	P27986	926
P62993	P98082	927
P0CG47	P62993	927
P63104	P35222	928
Q13191	P35222	929
P0CG47	Q13191	929
O75581	P0CG48	930
P0CG48	P05412	930
P05412	P35222	930
P05412	Q13469	931
P0CG48	P12931	932
P0CG48	P55036	933
P0CG48	P63104	934
P0CG48	O43318	935
P0CG48	Q04206	937
Q04206	Q13469	937
P0CG48	Q13501	938
Q13501	Q15797	938
P0CG48	Q96RN5	939
Q96RN5	Q15797	939
P0CG48	P09874	940
P09874	Q9NQB0	940
P0CG48	Q9UER7	941
Q9UER7	Q9NQB0	941
P62979	Q15796	942
P62979	Q13501	943
P62987	Q15796	947
O75581	Q03135	951
