#tail	head	KSP index
P01133	P00533	1
P00533	Q92625	1
P01133	P63104	2
P63104	P17612	2
P17612	P18846	2
P01133	P27986	2
P27986	P38398	2
P38398	P18846	2
P01133	Q13191	3
Q13191	P01106	3
P01106	P49715	3
P01133	P22681	3
P22681	P01106	3
P00533	P10275	3
P10275	P49715	3
P01106	P17676	4
P00533	P40763	4
P40763	P17676	4
P01133	O00459	4
O00459	P40763	4
P27986	P40763	4
P01133	P62993	4
P62993	P84022	4
P84022	P17676	4
P01133	P26447	4
P26447	P84022	4
P00533	P31749	5
P31749	P16220	5
O00459	P31749	5
P63104	P31749	5
P27986	P31749	5
P10275	P16220	5
P00533	P28482	5
P28482	P16220	5
P62993	P28482	5
P00533	P27361	5
P27361	P16220	5
P62993	P27361	5
P00533	P42858	5
P42858	P16220	5
P62993	P42858	5
O00459	P31751	5
P31751	P16220	5
P27986	P31751	5
O00459	P49841	5
P49841	P16220	5
P63104	P49841	5
P27986	P49841	5
O00459	Q9Y243	5
Q9Y243	P16220	5
P27986	Q9Y243	5
P17612	P16220	5
P38398	P16220	5
P00533	Q13153	6
Q13153	Q13363	6
P62993	Q13153	6
P63104	P25054	6
P25054	Q13363	6
P38398	Q13363	6
P63104	P68104	7
P28482	P19419	8
P27361	P19419	8
P27361	P28324	9
P01133	Q07890	10
Q07890	P01111	10
P01111	P01100	10
P62993	P01111	10
P01133	Q07889	10
Q07889	P01111	10
O00459	P01111	10
P27986	P01111	10
Q07890	P01112	10
P01112	P01100	10
P62993	P01112	10
Q07889	P01112	10
O00459	P01112	10
P27986	P01112	10
Q07890	P01116	10
P01116	P01100	10
P62993	P01116	10
Q07889	P01116	10
Q13191	P35222	10
P35222	P01100	10
P00533	P35222	10
P22681	P35222	10
P63104	P35222	10
P00533	O00206	10
O00206	P01100	10
P00533	P42224	10
P42224	P01100	10
P00533	O60603	10
O60603	P01100	10
P28482	P01100	10
P27361	P01100	10
P40763	P01100	10
P84022	P01100	10
P63104	Q12778	11
P63104	P98177	12
P35222	Q13547	13
Q13191	Q16665	13
Q16665	Q13547	13
P22681	Q16665	13
P42224	Q13547	13
P10275	Q13547	13
P40763	Q13547	13
P00533	P24385	13
P24385	Q13547	13
P62993	Q9Y230	13
Q9Y230	Q13547	13
P63104	Q9Y230	13
P62993	Q16576	13
Q16576	Q13547	13
P63104	P62805	13
P62805	Q13547	13
P63104	P06748	13
P06748	Q13547	13
P27986	P25963	13
P25963	Q13547	13
P01133	P0CG47	13
P0CG47	P25963	13
P27986	P03372	13
P03372	Q13547	13
P26447	Q00987	13
Q00987	Q13547	13
Q07890	P00519	14
P00519	P05412	14
P00533	P00519	14
P63104	P00519	14
P27986	P00519	14
P01111	P05412	14
P01112	P05412	14
P01116	P05412	14
P31749	P05412	14
O00206	P05412	14
P10275	P05412	14
O60603	P05412	14
P28482	P05412	14
P27361	P05412	14
P40763	P05412	14
P84022	P05412	14
P31751	P05412	14
Q9Y243	P05412	14
P63104	P0CG48	14
P0CG48	P05412	14
P0CG47	P0CG48	14
P03372	P05412	14
P38398	P05412	14
P0CG47	Q16236	14
Q16236	P05412	14
P28482	P17535	15
P27361	P17535	15
P84022	P17535	15
P38398	P17535	15
P62993	Q07666	16
P22681	Q07666	16
P27986	Q07666	16
P28482	O14901	17
P00533	Q9UKG1	18
Q9UKG1	O94776	18
Q16576	O94776	18
P03372	O94776	18
P01106	Q9Y6Q9	20
Q13153	Q9Y6Q9	20
P00533	Q05397	20
Q05397	Q9Y6Q9	20
O00459	Q05397	20
P27986	Q05397	20
P10275	Q9Y6Q9	20
P63104	Q9Y6K9	20
Q9Y6K9	Q9Y6Q9	20
P0CG47	Q9Y6K9	20
P27986	P19793	20
P19793	Q9Y6Q9	20
Q07890	P19438	21
P19438	P19838	21
P62993	P19438	21
Q07889	P19438	21
P01133	P62736	21
P62736	P60660	21
P60660	P19838	21
P62993	P60660	21
Q13191	P38484	21
P38484	P19838	21
P22681	P38484	21
Q13191	P15260	21
P15260	P19838	21
P22681	P15260	21
P35222	P19838	21
Q13191	Q9Y6Q6	21
Q9Y6Q6	P19838	21
P22681	Q9Y6Q6	21
O00459	Q9Y6Q6	21
P27986	Q9Y6Q6	21
P31749	P19838	21
O00206	P19838	21
P00533	P05362	21
P05362	P19838	21
P00533	Q99558	21
Q99558	P19838	21
O60603	P19838	21
P28482	P19838	21
P27361	P19838	21
P00533	P62158	21
P62158	P19838	21
P63104	P62158	21
P62993	P11142	21
P11142	P19838	21
P63104	P11142	21
P62993	Q13233	21
Q13233	P19838	21
P01133	P29353	21
P29353	Q13233	21
P62993	P78527	21
P78527	P19838	21
P62993	P52597	21
P52597	P19838	21
P63104	P52597	21
P62993	P04792	21
P04792	P19838	21
P63104	P04792	21
Q9Y230	P19838	21
P62993	P08238	21
P08238	P19838	21
P63104	P08238	21
P62993	P43243	21
P43243	P19838	21
P62993	O43707	21
O43707	P19838	21
P63104	O43707	21
P62993	P35580	21
P35580	P19838	21
P62993	P35579	21
P35579	P19838	21
P63104	P35579	21
P62993	Q15233	21
Q15233	P19838	21
P62993	P11021	21
P11021	P19838	21
P63104	P11021	21
P22681	Q9Y4K3	21
Q9Y4K3	P19838	21
O00459	Q9Y4K3	21
P27986	Q9Y4K3	21
P0CG47	Q9Y4K3	21
O00459	P46531	21
P46531	P19838	21
P27986	P46531	21
P31751	P19838	21
O00459	P14778	21
P14778	P19838	21
P27986	P14778	21
P49841	P19838	21
Q9Y243	P19838	21
P63104	P04049	21
P04049	P19838	21
P63104	P07437	21
P07437	P19838	21
Q9Y6K9	P19838	21
P63104	P27708	21
P27708	P19838	21
P63104	Q00610	21
Q00610	P19838	21
P63104	P38646	21
P38646	P19838	21
P63104	P52294	21
P52294	P19838	21
P63104	P08670	21
P08670	P19838	21
P17612	P19838	21
P63104	P15924	21
P15924	P19838	21
P63104	P34931	21
P34931	P19838	21
P63104	P07900	21
P07900	P19838	21
P63104	Q9Y265	21
Q9Y265	P19838	21
P63104	P08107	21
P08107	P19838	21
P25963	P19838	21
P03372	P19838	21
P0CG47	O95999	21
O95999	P19838	21
P10275	Q9Y6X2	22
P19438	Q04206	24
P01106	Q04206	24
P38484	Q04206	24
P15260	Q04206	24
Q9Y6Q6	Q04206	24
Q13191	P16871	24
P16871	Q04206	24
P22681	P16871	24
P27986	P16871	24
P31749	Q04206	24
P00533	O15524	24
O15524	Q04206	24
P62993	O15524	24
O00206	Q04206	24
Q99558	Q04206	24
O60603	Q04206	24
P28482	Q04206	24
P27361	Q04206	24
P40763	Q04206	24
P62158	Q04206	24
Q13233	Q04206	24
P04792	Q04206	24
O43707	Q04206	24
Q9Y4K3	Q04206	24
P22681	P27348	24
P27348	Q04206	24
P63104	P27348	24
P31751	Q04206	24
O00459	Q05513	24
Q05513	Q04206	24
P27986	Q05513	24
P14778	Q04206	24
Q9Y243	Q04206	24
P0CG48	Q04206	24
P04049	Q04206	24
Q9Y6K9	Q04206	24
P63104	Q99759	24
Q99759	Q04206	24
P63104	P23396	24
P23396	Q04206	24
P63104	Q13625	24
Q13625	Q04206	24
P17612	Q04206	24
P08107	Q04206	24
P63104	O95644	24
O95644	Q04206	24
P25963	Q04206	24
O95999	Q04206	24
P04049	O14593	25
P01106	Q15796	26
P35222	Q15796	26
P00533	O15530	26
O15530	Q15796	26
O00459	O15530	26
P27986	O15530	26
P28482	Q15796	26
P27361	Q15796	26
P62993	P30260	26
P30260	Q15796	26
P27986	P30260	26
P62993	O75593	26
O75593	Q15796	26
P27986	O75593	26
P62993	P98082	26
P98082	Q15796	26
P27986	P98082	26
P84022	Q15796	26
P62993	Q13557	26
Q13557	Q15796	26
P29353	O43524	26
O43524	Q15796	26
P63104	O43524	26
P29353	P36897	26
P36897	Q15796	26
O00459	P36897	26
P63104	P36897	26
P27986	P36897	26
P29353	P37173	26
P37173	Q15796	26
O00459	P37173	26
P27986	P37173	26
P63104	Q9GZV5	26
Q9GZV5	Q15796	26
P63104	P04637	26
P04637	Q15796	26
P0CG47	P04637	26
P26447	P04637	26
P63104	Q8TEW0	26
Q8TEW0	Q15796	26
P63104	P46937	26
P46937	Q15796	26
P03372	Q15796	26
P01133	P62316	26
P62316	Q9Y3F4	26
Q9Y3F4	Q15796	26
P0CG47	P62979	26
P62979	Q15796	26
P0CG47	P62987	26
P62987	Q15796	26
P0CG47	P62837	26
P62837	Q15796	26
Q07890	P16333	28
P16333	P08047	28
P00533	P16333	28
P22681	P16333	28
Q07889	P16333	28
Q07890	P46108	28
P46108	P08047	28
P00533	P46108	28
P62993	P46108	28
P22681	P46108	28
Q07889	P46108	28
P00519	P08047	28
Q07890	P12931	28
P12931	P08047	28
P00533	P12931	28
P22681	P12931	28
P29353	P12931	28
Q07889	P12931	28
Q07890	P06241	28
P06241	P08047	28
