#tail	head	KSP index
P05556	P63244	1
P63244	P10275	1
P05556	P21333	1
P21333	P10275	1
P05556	Q14192	1
Q14192	P10275	1
P05556	P51817	2
P51817	P15336	2
P05556	P17612	2
P17612	P15336	2
P05556	P22612	2
P22612	P15336	2
P05556	P22694	2
P22694	P15336	2
P51817	P18847	3
P17612	P18847	3
P22612	P18847	3
P22694	P18847	3
Q14192	P38398	4
P05556	P16471	5
P16471	Q92793	5
Q92793	Q99966	5
P05556	P37173	5
P37173	Q13485	5
Q13485	Q99966	5
Q14192	Q13485	5
P05556	Q05397	6
Q05397	Q12933	6
Q12933	Q92905	6
P21333	Q12933	6
Q13485	Q92905	6
P37173	O15105	6
O15105	Q92905	6
Q13485	P49711	8
P37173	P84022	8
P84022	P49711	8
P05556	P18031	9
P18031	P35222	9
P37173	P35222	9
P37173	P98082	10
P37173	Q9UER7	11
P16471	P63104	12
P63104	Q9NPI6	12
P21333	P63104	12
P05556	O43707	12
O43707	P63104	12
Q13485	Q9NPI6	12
P18031	P62993	13
P62993	P17844	13
Q05397	P62993	13
P21333	P62993	13
P05556	P46109	13
P46109	P62993	13
O43707	P62993	13
P10275	P17844	13
P21333	Q9Y572	13
Q9Y572	P17844	13
O43707	Q9Y572	13
P84022	P17844	13
Q13485	Q16254	14
P84022	Q16254	14
P38398	Q16254	14
Q13485	Q15329	15
P84022	Q15329	15
P51817	Q09472	16
P17612	Q09472	16
P22612	Q09472	16
P22694	Q09472	16
P18031	P03372	17
P05556	P12931	18
P12931	P14921	18
P05556	Q13418	19
Q13418	Q01844	19
P05556	P30101	20
P30101	P40763	20
P40763	P01100	20
P18031	P40763	20
P63244	P40763	20
P35222	P01100	20
Q05397	P27361	20
P27361	P01100	20
Q05397	P28482	20
P28482	P01100	20
P63244	P42224	20
P42224	P01100	20
P46109	P45983	20
P45983	P01100	20
P05556	P06756	20
P06756	P01112	20
P01112	P01100	20
P06756	P01111	20
P01111	P01100	20
P06756	P01116	20
P01116	P01100	20
Q13485	P01100	20
P84022	P01100	20
P45983	P53539	21
Q13485	P53539	21
P84022	P53539	21
P05556	P27986	22
P27986	O75593	22
O75593	P55316	22
P40763	Q12778	24
P18031	P31749	24
P31749	Q12778	24
Q13418	P31749	24
P27361	Q12778	24
P28482	Q12778	24
P10275	Q12778	24
P16471	P61981	24
P61981	Q12778	24
P63104	Q12778	24
P21333	O14920	24
O14920	Q12778	24
P45983	Q12778	24
Q13485	Q12778	24
P84022	Q12778	24
Q13418	P31751	24
P31751	Q12778	24
Q13418	Q9Y243	24
Q9Y243	Q12778	24
P05556	P31946	25
P31946	O43524	25
P31749	P98177	26
P27361	P98177	26
P28482	P98177	26
P63104	P98177	26
O14920	P98177	26
P45983	P98177	26
Q13485	P98177	26
P84022	P98177	26
P31751	P98177	26
Q9Y243	P98177	26
P40763	Q13547	27
P18031	P25963	27
P25963	Q13547	27
P03372	Q13547	27
P35222	Q13547	27
P42224	Q13547	27
P10275	Q13547	27
P63244	O75530	27
O75530	Q13547	27
P21333	Q9NYJ8	27
Q9NYJ8	Q13547	27
P05556	O00214	27
O00214	Q15583	27
Q15583	Q13547	27
P37173	P08047	27
P08047	Q13547	27
P37173	Q15796	27
Q15796	Q13547	27
Q14192	Q15796	27
Q13485	Q13547	27
O43707	P19838	27
P19838	Q13547	27
O43707	Q04206	27
Q04206	Q13547	27
Q13485	P41235	28
P84022	P41235	28
P05556	P19320	29
P19320	P31269	29
Q15796	Q9H160	30
P37173	Q9HCE7	30
Q9HCE7	Q9H160	30
Q15583	Q8IU81	31
P37173	P05412	32
P45983	P17275	33
Q13485	P17275	33
P84022	P17275	33
P38398	P17275	33
P27361	P17535	34
P28482	P17535	34
P45983	P17535	34
Q13485	P17535	34
P84022	P17535	34
P38398	P17535	34
P63244	O15350	35
O15350	Q96J02	35
Q96J02	Q13118	35
P21333	Q13233	35
Q13233	Q96J02	35
P46109	P22681	35
P22681	Q96J02	35
P45983	Q96J02	35
P46109	Q14511	35
Q14511	Q96J02	35
O15105	Q96J02	35
P35222	Q9UJU2	36
Q15796	Q9UJU2	36
Q13485	Q9UJU2	36
O15105	Q9UJU2	36
