#tail	head	KSP index
Q9Y6Q6	P19838	1
P19838	P20749	1
Q9Y6Q6	Q12933	2
Q12933	Q92905	2
Q9Y6Q6	Q04206	3
Q04206	Q92793	3
Q04206	Q01201	4
Q01201	Q92785	4
P19838	Q01201	4
Q04206	Q13547	5
Q13547	O75530	5
Q9Y6Q6	Q9NYJ8	5
Q9NYJ8	Q13547	5
P19838	Q13547	5
Q04206	Q92769	5
Q92769	O75530	5
Q9NYJ8	Q92769	5
Q9Y6Q6	P29350	5
P29350	P19438	5
P19438	O75530	5
Q12933	P19438	5
Q04206	Q09472	6
Q9Y6Q6	Q06187	7
Q06187	P78347	7
Q9Y6Q6	Q15750	10
Q15750	O14920	10
Q9NYJ8	O14920	10
Q9Y6Q6	Q13077	10
Q13077	O14920	10
Q12933	O14920	10
Q9Y6Q6	Q9Y4K3	10
Q9Y4K3	O14920	10
Q9Y6Q6	O43318	10
O43318	O14920	10
Q9Y6Q6	P12931	10
P12931	O14920	10
Q9Y6Q6	Q13114	11
Q13114	Q9Y6K9	11
Q15750	Q9Y6K9	11
Q9NYJ8	Q9Y6K9	11
Q13077	Q9Y6K9	11
Q9Y6Q6	O00463	11
O00463	Q9Y6K9	11
Q12933	Q9Y6K9	11
Q9Y4K3	Q9Y6K9	11
O43318	Q9Y6K9	11
Q15750	P25963	12
P25963	P33992	12
Q04206	P25963	12
Q9NYJ8	P25963	12
P19838	P25963	12
Q12933	P25963	12
O43318	P25963	12
P12931	P25963	12
Q9Y6Q6	P27986	12
P27986	P25963	12
Q9Y4K3	P33993	13
Q04206	Q00653	15
Q13077	Q00653	15
P19838	Q00653	15
Q15750	Q15653	17
Q04206	Q15653	17
Q9NYJ8	Q15653	17
P19838	Q15653	17
O43318	Q15653	17
P19838	Q9BYH8	18
Q9Y4K3	P49116	19
Q04206	Q04864	20
Q04864	P51003	20
P19838	Q04864	20
Q12933	Q9GZU2	21
Q04206	Q9Y6X2	22
Q04206	P29590	23
Q15653	O95602	24
P27986	Q9H9Y6	25
Q15653	O15160	26
Q15653	Q9Y2S0	27
Q15653	Q9GZS1	28
Q9Y4K3	P52434	29
Q15653	P62875	30
Q9Y6Q6	P08637	31
P08637	Q16539	31
Q16539	P06400	31
Q15750	Q16539	31
Q9NYJ8	Q16539	31
Q9Y6Q6	P12314	31
P12314	Q16539	31
Q9Y6Q6	P12318	31
P12318	Q16539	31
Q9Y4K3	Q16539	31
O43318	Q16539	31
Q9Y6Q6	O75015	31
O75015	Q16539	31
Q9Y6Q6	P31995	31
P31995	Q16539	31
Q13547	P06400	31
Q04206	P24385	31
P24385	P06400	31
Q92769	P06400	31
Q9Y6Q6	Q14192	31
Q14192	P10275	31
P10275	P06400	31
P12931	P10275	31
Q9Y6Q6	P07948	31
P07948	P11802	31
P11802	P06400	31
P19838	P32519	31
P32519	P06400	31
P19838	Q01094	31
Q01094	P06400	31
Q12933	Q99683	31
Q99683	P06400	31
Q9Y4K3	Q99683	31
P12931	P28340	31
P28340	P06400	31
P12931	P00519	31
P00519	P06400	31
P27986	P00519	31
P27986	P19793	35
Q01201	P51532	36
P29350	P03372	36
P03372	P51532	36
P19838	P03372	36
P27986	P03372	36
P12931	O15360	36
O15360	P51532	36
P27986	O15360	36
Q01201	Q12824	37
Q9Y6Q6	Q9UQC2	37
Q9UQC2	P31749	37
P31749	Q12824	37
Q9Y6Q6	O00459	37
O00459	P31749	37
P12931	P31749	37
P27986	P31749	37
O14920	Q92922	38
Q01201	Q92922	38
Q04206	P01106	38
P01106	Q92922	38
Q9Y6Q6	P22681	38
P22681	P01106	38
Q9Y6Q6	Q13191	38
Q13191	P01106	38
P10275	Q92922	38
P22681	P62993	38
P62993	Q92922	38
P29350	P62993	38
Q13191	P62993	38
Q9UQC2	P62993	38
Q9Y6Q6	Q9UKW4	38
Q9UKW4	P62993	38
O00459	P62993	38
P12931	P62993	38
P27986	P62993	38
Q9Y6Q6	P31994	38
P31994	P62993	38
P31995	P62993	38
P19838	Q15788	38
Q15788	Q92922	38
P31749	Q92922	38
Q01201	Q8TAQ2	39
Q04206	Q99759	39
Q99759	Q8TAQ2	39
P07948	Q99759	39
Q9Y4K3	Q99759	39
O43318	Q99759	39
P62993	Q8TAQ2	39
Q01201	Q969G3	40
P10275	Q969G3	40
P12314	P42224	41
P12931	P42224	41
Q04206	P21580	42
Q13077	P21580	42
Q12933	P21580	42
Q04206	Q96RU7	43
Q15750	P98170	44
P98170	Q13049	44
Q9Y4K3	P98170	44
Q12933	P54253	44
P54253	Q13049	44
P20333	P78527	45
P78527	P19838	45
P20333	P27708	45
P27708	P19838	45
P20333	P08670	45
P08670	P19838	45
P20333	P35580	45
P35580	P19838	45
P20333	P19438	45
P19438	P19838	45
P20333	P05141	45
P05141	P19838	45
P20333	Q9Y297	45
Q9Y297	P19838	45
P20333	Q13748	45
Q13748	P19838	45
P20333	Q05639	45
Q05639	P19838	45
P20333	O95816	45
O95816	P19838	45
P20333	Q00610	45
Q00610	P19838	45
P20333	P35579	45
P35579	P19838	45
P20333	Q07021	45
Q07021	P19838	45
P20333	P11142	45
P11142	P19838	45
P20333	Q9UKB1	45
Q9UKB1	P19838	45
P20333	P38646	45
P38646	P19838	45
P20333	P31689	45
P31689	P19838	45
P20333	P04350	45
P04350	P19838	45
P20333	Q96EY1	45
Q96EY1	P19838	45
P20333	P12236	45
P12236	P19838	45
P20333	Q3ZCQ8	45
Q3ZCQ8	P19838	45
P20333	Q9BVA1	45
Q9BVA1	P19838	45
P20333	P17066	45
P17066	P19838	45
P20333	P62158	45
P62158	P19838	45
P20333	P07437	45
P07437	P19838	45
P20333	P11021	45
P11021	P19838	45
P20333	P63261	45
P63261	P19838	45
P20333	P34931	45
P34931	P19838	45
P20333	P43405	45
P43405	P06241	45
P06241	P20749	45
P20333	P21333	45
