#tail	head	KSP index
Q9UP38	P35222	1
P35222	P25054	1
Q9UP38	O14640	1
O14640	P25054	1
Q9UP38	O14641	1
O14641	P25054	1
P35222	Q9UBE8	2
Q9UBE8	Q9P2D1	2
P25054	Q13363	3
P35222	Q13547	3
Q13547	Q13363	3
Q9UP38	O75581	5
O75581	P98082	5
Q9UP38	Q92997	5
Q92997	P98082	5
P35222	Q9UJU2	6
P35222	P48729	7
P48729	Q13469	7
P35222	P01100	7
P01100	Q13469	7
O14640	P49841	7
P49841	Q13469	7
Q92997	P49841	7
O14641	P49841	7
P35222	P45983	8
P45983	Q02962	8
Q9UBE8	P37231	9
P35222	Q09472	9
Q09472	P37231	9
O14640	Q15797	10
P35222	O00570	11
P35222	P15923	12
P35222	P15884	13
P35222	Q9NQB0	14
Q9ULW2	O14640	15
Q9ULW2	P35222	15
Q9ULW2	O14641	15
Q9ULW2	Q92997	19
Q14332	P35222	29
Q14332	O14640	29
Q14332	O14641	29
Q14332	Q92997	33
Q9NPG1	P35222	43
Q9NPG1	O14641	43
Q9NPG1	O14640	43
Q9NPG1	Q92997	47
Q13467	P35222	57
Q13467	O14640	57
Q13467	O14641	57
Q13467	Q92997	61
O75084	O14640	71
O75084	O14641	71
O75084	P35222	71
O75084	Q92997	75
Q9H461	P35222	85
Q9H461	O14641	85
Q9H461	O14640	85
Q9H461	Q92997	89
Q9H461	O75581	89
O00144	O14640	99
O00144	O14641	99
O00144	P35222	99
O00144	Q92997	103
Q07954	Q9UP38	113
Q07954	P61981	115
P61981	Q9H307	115
Q9H307	Q13363	115
Q07954	P11226	119
P11226	O00206	119
O00206	P01100	119
O00206	Q04206	119
Q04206	Q13469	119
O00206	P05412	119
P05412	Q13469	119
Q07954	O00213	119
O00213	P00533	119
P00533	P42229	119
P42229	Q13469	119
P00533	P51692	119
P51692	Q13469	119
O00213	P05067	120
P05067	P45983	120
P61981	Q8N122	121
Q8N122	P37231	121
O75197	O15169	127
O15169	P25054	127
O75197	Q9H461	128
O75197	P19022	128
P19022	P35222	128
O15169	P35222	128
O15169	P31749	128
P31749	Q15047	128
Q15047	Q9P2D1	128
O75197	Q92837	131
Q92837	Q92997	131
O15169	Q92997	131
P19022	O75581	131
O15169	O75581	131
O15169	P36897	131
P36897	P98082	131
O15169	Q15796	131
Q15796	P98082	131
O15169	P84022	131
P84022	P98082	131
P19022	P14923	132
P14923	Q9UJU2	132
Q15796	Q9UJU2	132
P84022	Q9UJU2	132
O15169	O15105	132
O15105	Q9UJU2	132
Q92837	P49841	133
O15169	P49841	133
O15169	P48729	133
P19022	Q15256	134
Q15256	P45983	134
P19022	P35236	134
P35236	P45983	134
O15169	P45985	134
P45985	P45983	134
O15169	P67775	134
P67775	P45983	134
O15169	Q13233	134
Q13233	P45983	134
Q15796	Q09472	135
P84022	Q09472	135
O15105	Q09472	135
P31749	Q09472	135
O15169	P62136	135
P62136	P06400	135
P06400	P37231	135
Q15047	P37231	135
